,period,stateId,producertypeid,energysourceid,capability,capability-units
472,2000,TX,TOT,NG,54807,megawatts
473,2000,TX,TOT,HYC,698,megawatts
474,2000,TX,TOT,COL,19812,megawatts
475,2000,TX,IPP,ALL,16514,megawatts
476,2000,TX,IPP,WOO,168,megawatts
477,2000,TX,IPP,WND,173,megawatts
478,2000,TX,IPP,PET,709,megawatts
479,2000,TX,IPP,OOG,171,megawatts
480,2000,TX,IPP,OBM,17,megawatts
481,2000,TX,IPP,OT,6,megawatts
482,2000,TX,IPP,NG,14929,megawatts
483,2000,TX,IPP,HYC,2,megawatts
484,2000,TX,IPP,COL,338,megawatts
485,2000,TX,EU,ALL,65384,megawatts
486,2000,TX,EU,SOL,1,megawatts
487,2000,TX,EU,PET,37,megawatts
488,2000,TX,EU,OT,499,megawatts
489,2000,TX,EU,NUC,4800,megawatts
490,2000,TX,EU,NG,39878,megawatts
491,2000,TX,EU,HYC,696,megawatts
492,2000,TX,EU,COL,19473,megawatts
493,1999,TX,TOT,ALL,76057,megawatts
494,1999,TX,TOT,WOO,137,megawatts
495,1999,TX,TOT,WND,173,megawatts
496,1999,TX,TOT,SOL,1,megawatts
497,1999,TX,TOT,PET,309,megawatts
498,1999,TX,TOT,OOG,129,megawatts
499,1999,TX,TOT,OBM,12,megawatts
500,1999,TX,TOT,OT,558,megawatts
501,1999,TX,TOT,NUC,4800,megawatts
502,1999,TX,TOT,NG,49031,megawatts
503,1999,TX,TOT,HYC,693,megawatts
504,1999,TX,TOT,COL,20213,megawatts
505,1999,TX,IPP,ALL,10763,megawatts
506,1999,TX,IPP,WOO,137,megawatts
507,1999,TX,IPP,WND,173,megawatts
508,1999,TX,IPP,PET,271,megawatts
509,1999,TX,IPP,OOG,129,megawatts
510,1999,TX,IPP,OBM,12,megawatts
511,1999,TX,IPP,OT,251,megawatts
512,1999,TX,IPP,NG,9450,megawatts
513,1999,TX,IPP,HYC,2,megawatts
514,1999,TX,IPP,COL,338,megawatts
515,1999,TX,EU,ALL,65293,megawatts
516,1999,TX,EU,COL,19875,megawatts
517,1999,TX,EU,HYC,691,megawatts
518,1999,TX,EU,NG,39581,megawatts
519,1999,TX,EU,NUC,4800,megawatts
520,1999,TX,EU,OT,307,megawatts
521,1999,TX,EU,PET,38,megawatts
522,1999,TX,EU,SOL,1,megawatts
523,1998,TX,TOT,COL,20069,megawatts
524,1998,TX,TOT,ALL,74572,megawatts
525,1998,TX,TOT,HYC,695,megawatts
526,1998,TX,TOT,NG,47961,megawatts
527,1998,TX,TOT,NUC,4800,megawatts
528,1998,TX,TOT,OT,377,megawatts
529,1998,TX,TOT,OBM,14,megawatts
530,1998,TX,TOT,OOG,192,megawatts
531,1998,TX,TOT,PET,292,megawatts
532,1998,TX,TOT,SOL,1,megawatts
533,1998,TX,TOT,WND,34,megawatts
534,1998,TX,TOT,WOO,137,megawatts
535,1998,TX,IPP,ALL,9363,megawatts
536,1998,TX,IPP,WOO,137,megawatts
537,1998,TX,IPP,WND,34,megawatts
538,1998,TX,IPP,PET,255,megawatts
539,1998,TX,IPP,OOG,192,megawatts
540,1998,TX,IPP,OBM,14,megawatts
541,1998,TX,IPP,OT,70,megawatts
542,1998,TX,IPP,NG,8323,megawatts
543,1998,TX,IPP,HYC,2,megawatts
544,1998,TX,IPP,COL,338,megawatts
545,1998,TX,EU,ALL,65209,megawatts
546,1998,TX,EU,COL,19731,megawatts
547,1998,TX,EU,HYC,694,megawatts
548,1998,TX,EU,NG,39639,megawatts
549,1998,TX,EU,NUC,4800,megawatts
550,1998,TX,EU,OT,307,megawatts
551,1998,TX,EU,PET,37,megawatts
552,1998,TX,EU,SOL,1,megawatts
553,1997,TX,TOT,ALL,73455,megawatts
554,1997,TX,TOT,WOO,191,megawatts
555,1997,TX,TOT,WND,34,megawatts
556,1997,TX,TOT,SOL,1,megawatts
557,1997,TX,TOT,PET,290,megawatts
558,1997,TX,TOT,OOG,156,megawatts
559,1997,TX,TOT,OBM,17,megawatts
560,1997,TX,TOT,OT,377,megawatts
561,1997,TX,TOT,NUC,4800,megawatts
562,1997,TX,TOT,NG,46975,megawatts
563,1997,TX,TOT,HYC,687,megawatts
564,1997,TX,TOT,COL,19927,megawatts
565,1997,TX,IPP,ALL,8598,megawatts
566,1997,TX,IPP,WOO,191,megawatts
567,1997,TX,IPP,WND,34,megawatts
568,1997,TX,IPP,PET,253,megawatts
569,1997,TX,IPP,OOG,156,megawatts
570,1997,TX,IPP,OBM,17,megawatts
571,1997,TX,IPP,OT,70,megawatts
572,1997,TX,IPP,NG,7536,megawatts
573,1997,TX,IPP,HYC,2,megawatts
574,1997,TX,IPP,COL,340,megawatts
575,1997,TX,EU,ALL,64858,megawatts
576,1997,TX,EU,SOL,1,megawatts
577,1997,TX,EU,PET,37,megawatts
578,1997,TX,EU,OT,307,megawatts
579,1997,TX,EU,NUC,4800,megawatts
580,1997,TX,EU,NG,39440,megawatts
581,1997,TX,EU,HYC,686,megawatts
582,1997,TX,EU,COL,19587,megawatts
583,1996,TX,TOT,ALL,73361,megawatts
584,1996,TX,TOT,WOO,144,megawatts
